idx,band,song,duration_sec,key_ks,mode_ks,key_ks_confidence,modulation_flag,key_essentia,mode_essentia,key_mismatch,mode_only_mismatch,error
224,morfonica,Overdose (Cover),194.03,A,minor,0.8,False,A,minor,False,False,
227,morfonica,ALIVE (Cover),216.03,G#,minor,0.678,True,B,major,False,False,
225,morfonica,かくれんぼ (Cover),298.7,A#,minor,0.436,False,B,major,True,False,
226,morfonica,chAngE (Cover),249.57,B,minor,0.306,False,D,minor,True,False,
228,morfonica,Nameless Story (Cover),243.03,A,minor,0.968,False,A,minor,False,False,
232,morfonica,COLORFUL BOX (Cover),238.4,A,minor,0.549,True,F,major,True,False,
229,morfonica,青空のラプソディ (Cover),277.37,A,minor,0.876,False,F,major,True,False,
231,morfonica,メリッサ (Cover),256.83,F,major,0.208,False,C,minor,True,False,
230,morfonica,Nevereverland (Cover),287.4,A,minor,0.636,False,A,minor,False,False,
235,morfonica,V.I.P (Cover),193.5,A,minor,0.321,False,F,minor,True,False,
233,morfonica,unravel (Cover),237.4,G#,major,0.81,False,Ab,major,True,False,
236,morfonica,CQCQ (Cover),221.77,G#,minor,0.965,False,B,minor,True,False,
234,morfonica,アゲハ蝶 (Cover),280.67,A,minor,0.435,False,D,minor,True,False,
237,mugendai_mutype,アイの夢限,200.5,A,major,0.537,False,A,major,False,False,
238,mugendai_mutype,どんがらがっしゃん,196.53,E,minor,0.351,False,A,minor,True,False,
240,mugendai_mutype,チューニング,196.02,C#,major,0.609,False,C#,major,False,False,
239,mugendai_mutype,みゅーたんとミュータント,220.27,D,major,0.339,False,G,major,True,False,
242,mugendai_mutype,グラディエント,201.02,G,major,0.769,False,G,major,False,False,
241,mugendai_mutype,Dream Voyage,262.32,E,minor,0.376,False,C,major,True,False,
243,mugendai_mutype,LET'Sあちあちトレーニング！,206.5,C#,minor,0.329,True,C#,major,False,True,
244,mugendai_mutype,真夜中遊園地,230.0,D,minor,0.469,True,F,major,False,False,
248,mugendai_mutype,コミュ着火Fire!,185.02,C,minor,0.251,False,F,minor,True,False,
246,mugendai_mutype,TRASH LIFE,213.02,A#,major,0.757,False,Bb,major,True,False,
245,mugendai_mutype,テレパシー,254.0,A,major,0.454,True,A,minor,False,True,
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,234.02,E,minor,0.935,False,G,major,False,False,
249,mugendai_mutype,Calling,182.22,D,minor,0.802,False,D,minor,False,False,
250,mugendai_mutype,Hi-Vision,180.5,C#,minor,0.255,False,F#,minor,True,False,
252,mugendai_mutype,✞animaるパーティ✞開催中✞,177.02,D,minor,0.431,True,D,major,False,True,
251,mugendai_mutype,コハク,220.02,D,major,0.731,False,D,major,False,False,
253,mugendai_mutype,エンプティパペット,186.02,D,minor,0.749,False,D,minor,False,False,
254,mugendai_mutype,限界現実サバイブ天使,196.02,A,major,0.508,False,D,major,True,False,
255,mugendai_mutype,ビッグマウス,173.02,D#,minor,0.487,True,Ab,minor,True,False,
256,mugendai_mutype,夢現妄想世界,212.19,G#,minor,0.494,False,A,minor,True,False,
257,mugendai_mutype,やわやわNERD 超FreQuency,187.6,F#,minor,0.47,True,F#,minor,False,False,
258,mugendai_mutype,超惑星Xへの旅,173.63,F#,minor,1.0,False,F#,minor,False,False,
260,mygo,迷星叫,211.37,G#,major,0.651,False,Ab,major,True,False,
261,mygo,壱雫空,189.59,C#,major,0.365,True,F#,major,True,False,
259,mugendai_mutype,これはぼくたちの生存のあらすじ,234.77,G#,major,0.391,False,Ab,major,True,False,
262,mygo,碧天伴走,218.87,C#,major,0.616,False,C#,major,False,False,
263,mygo,影色舞,209.45,A#,minor,0.582,True,Bb,minor,True,False,
264,mygo,歌いましょう鳴らしましょう,176.49,E,minor,0.57,True,A,minor,True,False,
265,mygo,潜在表明,262.12,B,minor,0.392,True,B,minor,False,False,
266,mygo,音一会,282.01,F,minor,0.434,False,Ab,major,True,False,
268,mygo,詩超絆,237.2,C,major,0.713,False,F,major,True,False,
269,mygo,迷路日々,215.45,E,minor,0.394,True,D,major,True,False,
267,mygo,春日影 (MyGO!!!!! ver.),256.61,B,major,0.643,False,B,major,False,False,
270,mygo,無路矢,222.93,B,minor,0.588,True,E,minor,True,False,
271,mygo,名無声,271.65,F#,major,0.589,True,F#,major,False,False,
272,mygo,栞,266.41,D,major,0.77,False,D,major,False,False,
273,mygo,歩拾道,260.28,E,minor,0.973,False,G,major,False,False,
274,mygo,明弦音,243.92,B,major,0.308,False,E,minor,True,False,
275,mygo,孤壊牢,215.57,E,minor,0.716,False,E,minor,False,False,
276,mygo,霧周途,222.17,D,minor,0.832,False,F,major,False,False,
278,mygo,処救生,217.49,F,minor,0.49,False,C#,major,True,False,
279,mygo,輪符雨,207.57,F,minor,0.256,False,F,minor,False,False,
277,mygo,端程山,260.97,C#,minor,0.736,False,E,major,False,False,
280,mygo,夜隠染,200.97,A#,major,0.732,False,Bb,major,True,False,
281,mygo,過惰幻,237.61,A#,major,0.939,False,Bb,major,True,False,
283,mygo,砂寸奏,223.6,C#,minor,0.794,False,A,major,True,False,
282,mygo,回層浮,261.24,C#,major,0.471,False,Ab,minor,True,False,
287,mygo,証命讃歌,192.2,A,minor,0.638,False,F,major,True,False,
284,mygo,焚音打,242.92,C#,minor,0.473,True,A,major,True,False,
285,mygo,残痕字,255.07,E,major,0.477,False,E,major,False,False,
286,mygo,掌心正銘,221.47,E,major,0.625,False,E,major,False,False,
288,mygo,エガクミライ,239.41,G#,major,0.635,True,Ab,major,True,False,
294,mygo,雑踏、僕らの街 (Cover),188.23,E,minor,0.854,False,E,minor,False,False,
290,mygo,聿日箋秋,236.36,A,major,0.61,False,D,major,True,False,
289,mygo,静降想,278.19,A#,major,0.683,False,Bb,major,True,False,
292,mygo,だれかの心臓になれたなら (Cover),236.37,G#,major,0.39,True,F,minor,True,False,
293,mygo,遥か彼方 (Cover),249.23,A,major,0.643,True,A,major,False,False,
295,mygo,過去を喰らう (Cover),240.48,D#,major,0.538,True,Eb,major,True,False,
291,mygo,往欄印,298.15,D#,major,0.589,True,Eb,major,True,False,
296,mygo,君の神様になりたい。 (Cover),249.33,D,major,0.398,False,D,major,False,False,
300,mygo,春日影,123.01,B,major,0.746,False,B,major,False,False,
297,mygo,ノンブレス・オブリージュ (Cover),207.25,C,major,0.745,False,C,major,False,False,
298,mygo,swim (Cover),209.55,E,major,0.691,False,E,major,False,False,
299,mygo,猛独が襲う (Cover),254.32,B,major,0.716,False,E,major,True,False,
302,pastel_palettes,ワクワクmeetsトリップ,247.3,G,major,0.799,False,E,minor,False,False,
301,pastel_palettes,TITLE IDOL,268.37,A#,major,0.456,True,Bb,major,True,False,
303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,265.14,G,major,0.28,True,C,major,True,False,
304,pastel_palettes,もういちど ルミナス,260.04,A,major,0.59,False,D,major,True,False,
305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,246.87,F,major,0.431,True,F,major,False,False,
306,pastel_palettes,天下トーイツ A to Z☆,218.57,E,major,0.315,False,E,major,False,False,
307,pastel_palettes,しゅわりん☆どり〜みん,236.37,G#,major,0.513,False,Ab,major,True,False,
308,pastel_palettes,Power of LOVE!!!,231.7,E,minor,0.533,False,G,major,False,False,
309,pastel_palettes,きゅ～まい＊flower,220.6,F#,major,0.339,True,F#,major,False,False,
312,pastel_palettes,はなまる◎アンダンテ,226.47,G,minor,0.708,False,Eb,major,True,False,
310,pastel_palettes,Winking☆Cheer,310.07,C,major,0.73,False,C,major,False,False,
