idx,band,song,duration_sec,cen_mean,cen_p90,roll_mean,roll_p90,bw_mean,bw_p90,flat_mean,flat_p90,contrast_mean,contrast_p90,zcr_mean,zcr_p90,perc_mean,perc_p90,perc_p95,onset_mean,onset_p90,onset_rate,rms_mean,rms_p90,extract_sec,error
41,afterglow,Start as Usual,276.27,2825.6568206085185,3368.9120347797966,5803.852491046946,7159.7900390625,2630.064345265813,2986.224155989816,0.04319090396165848,0.06885279715061188,21.863526982277403,24.211663045117938,0.12569688215719027,0.1796875,0.23179517686367035,0.5136752724647522,0.614951491355896,1.1978416442871094,2.1983556747436523,2.7328667953667956,0.19083049893379211,0.24921852350234985,10.34,
46,afterglow,メンタルチェンソー (Cover),177.4,2351.2385666761907,2856.4384811111395,4893.858684120378,6374.904785156254,2468.8160792188405,2867.7960056044767,0.024386629462242126,0.039455022662878036,21.104703615581588,23.589387765318204,0.10815608638743456,0.15087890625,0.3091278374195099,0.6572530269622803,0.7404906153678894,1.4411050081253052,3.16693115234375,3.4386035238112527,0.1788068413734436,0.2611749768257141,6.24,
44,afterglow,READY STEADY GO (Cover),221.33,2803.2598925572324,3319.708855374301,5555.4003839663865,6780.805664062512,2500.6919768794933,2893.9792661877605,0.05437735095620155,0.0774950459599495,20.92697470631941,23.204157945686653,0.15222599498124934,0.21044921875,0.2831614315509796,0.6196535229682922,0.7020412683486938,1.1647531986236572,2.189636707305908,1.8569277108433735,0.16862818598747253,0.22253870964050293,8.45,
45,afterglow,abnormalize (Cover),219.03,2519.8095839549387,3171.2659314178063,5179.587959573439,7375.1220703125,2511.5010054845284,3030.5115465790095,0.03610546141862869,0.05497260391712189,21.545831491715347,24.215523633700126,0.12186481302342839,0.17578125,0.24022464454174042,0.5630034804344177,0.6595835089683533,1.1808669567108154,2.1214988231658936,0.5295997565058591,0.17526015639305115,0.23599974811077118,8.42,
42,afterglow,“Say cheese!!!!!”,261.07,2784.8495505830874,3270.083232310856,5624.434737589214,7019.82421875,2582.993295520363,2955.5618323353174,0.03921801969408989,0.058960385620594025,22.2322040423345,24.52760088447327,0.12325788163409374,0.1728515625,0.20582044124603271,0.4498174488544464,0.5479211211204529,1.283069133758545,2.449483633041382,2.654494382022472,0.20146669447422028,0.2542147636413574,10.24,
43,afterglow,花笑みのデュオ,250.31,2864.9267362414353,3451.3366178869614,5966.862571022727,7407.421875,2700.8518210495936,3051.819088636129,0.049165353178977966,0.07964234799146652,22.035667595488416,24.732052648384354,0.12891462959473562,0.18408203125,0.266506165266037,0.5797043442726135,0.6742582321166992,1.2796711921691895,2.591860771179199,4.382623981249667,0.20514348149299622,0.2784934341907501,10.06,
47,afterglow,Bunny Girl (Cover),217.23,2712.386244957408,3465.6131311124354,5666.695087982478,7934.9853515625,2554.4433912563027,3162.1888239949226,0.04115941375494003,0.0697242021560669,22.29240953819319,25.15686895059958,0.12480168140765284,0.183837890625,0.3165546655654907,0.7002876400947571,0.786313533782959,1.4729783535003662,3.474958896636963,4.014240117849251,0.15496721863746643,0.23325566947460175,8.35,
48,afterglow,オレンジ (Cover),235.6,2677.806340837146,3377.0865962245657,5408.55406962957,7153.330078124996,2508.285460333147,2973.9020227501906,0.04058115929365158,0.07209188491106033,22.429953744061628,25.234700247611404,0.12006901862927466,0.1875,0.23331718146800995,0.5616937875747681,0.6762443780899048,1.2759062051773071,2.5275814533233643,2.601867572156197,0.16887417435646057,0.24379980564117432,8.95,
53,afterglow,チルドレンレコード (Re:boot) (Cover),189.71,2614.137216885625,3180.6111805741702,5393.7800977279685,7290.065917968754,2551.3694684052925,2996.935244026506,0.04200100898742676,0.05550383776426315,21.17734368754729,23.72359310887424,0.12568174103044677,0.17236328125,0.3095199763774872,0.6759019494056702,0.7785080075263977,1.2456108331680298,2.3953099250793457,4.348819229687939,0.16704313457012177,0.23554004728794098,6.63,
49,afterglow,カゲロウデイズ (Cover),233.71,2657.7622769611817,3252.2171726960464,5596.306199643722,7052.1240234375,2602.625593080541,2997.8371987693577,0.03700221702456474,0.057838838547468185,21.866483220198447,24.391208859714336,0.10332167085817189,0.1630859375,0.2276642769575119,0.5204019546508789,0.6342571377754211,1.325209617614746,2.6355984210968018,3.594249201277955,0.16616372764110565,0.23781216144561768,8.86,
52,afterglow,CHAINSAW BLOOD (Cover),203.12,2305.5274345590155,2781.1394084709195,4708.668825753923,5932.3974609375,2375.033561823712,2781.5192927531625,0.02798026241362095,0.03379647806286812,21.62088232192754,24.15552984035962,0.10995482003029264,0.15673828125,0.27738165855407715,0.65598064661026,0.7519291043281555,1.2794030904769897,2.4967668056488037,2.4222134698700275,0.1679743528366089,0.23754256963729858,7.45,
50,afterglow,DAY×DAY (Cover),219.07,2827.558664981438,3265.239579560092,5694.379680979233,6707.5927734375,2541.427652376081,2884.9496735008365,0.050852999091148376,0.07769036293029785,21.67043049946898,23.997207627591013,0.14422855185148384,0.19873046875,0.2624005973339081,0.5572054386138916,0.6470924019813538,1.2287044525146484,2.3880696296691895,3.0036518563603165,0.19191621243953705,0.2648582458496094,8.41,
54,afterglow,青のすみか (Cover),197.4,2690.4845180775574,3502.056201997593,5441.084835507454,7330.9790039062555,2523.9429418265236,3001.121299558125,0.04490654915571213,0.073532834649086,22.280500596638813,25.08294703498661,0.12489036357254175,0.18505859375,0.23909302055835724,0.5515643954277039,0.6686522364616394,1.2224245071411133,2.31265926361084,1.93515704154002,0.18954044580459595,0.26960501074790955,7.41,
51,afterglow,ロキ (Cover),230.03,2467.5846330916684,3141.7271436534465,4979.433134892784,6879.8583984375,2401.5190230243406,2942.6906181646796,0.03921883925795555,0.05434145778417587,21.360264497456665,23.880715089124152,0.12724608389270212,0.173828125,0.29115617275238037,0.6293001174926758,0.7389553785324097,1.2560875415802002,2.332965612411499,2.3083611070859296,0.16058653593063354,0.22614534199237823,9.16,
56,afterglow,天ノ弱 (Cover),187.77,2389.0307808151592,2899.1909058098954,4754.618852619366,6636.5332031250055,2366.7475832618284,2890.6355788296137,0.037602122873067856,0.04431195929646492,21.513526334246976,24.258106906603512,0.12363967150210214,0.17041015625,0.32065919041633606,0.6760689616203308,0.7708595991134644,1.3062807321548462,2.4370486736297607,3.0676371382922065,0.18285700678825378,0.24323111772537231,6.96,
55,afterglow,GO!!! (Cover),239.67,2552.9164418009536,3031.6639490192097,4938.007617130734,6255.3955078125,2419.752055239286,2809.8603854280523,0.0407719612121582,0.05738065019249916,21.342596209507786,23.96601824431578,0.1366636870882581,0.1826171875,0.30308282375335693,0.6160491108894348,0.6872383952140808,1.2436221837997437,2.3142764568328857,1.6606397774687065,0.17864838242530823,0.237813800573349,9.27,
57,afterglow,アスノヨゾラ哨戒班 (Cover),192.03,2726.342393484529,3420.687102746265,5650.673339312432,7428.955078125,2570.0504504401424,3033.6356647266975,0.05207036808133125,0.06985317170619965,21.52743520297776,24.236983128077643,0.1345188573026236,0.18896484375,0.2112017720937729,0.5025007724761963,0.6031376123428345,1.1634351015090942,2.2663140296936035,3.0151015448706824,0.18135865032672882,0.23226948082447052,6.87,
58,afterglow,瞬間センチメンタル (Cover),230.93,2672.4693761082863,3241.5724941413146,5381.582844724795,6955.224609375,2517.608904585052,2922.7583891259173,0.043763838708400726,0.06306849420070648,21.318447701314444,24.022485176541938,0.13810838292403982,0.1875,0.31271326541900635,0.7147131562232971,0.8037549257278442,1.2234220504760742,2.2945752143859863,1.3467090069284064,0.1728263795375824,0.24820885062217712,8.52,
