idx,band,song,i_mean,i_std,i_max,i_min,i_start,i_end
197,morfonica,両翼のBrilliance,0.22254,0.72525,1.27600,-0.97352,-0.06740,0.56320
198,morfonica,Steer to Utopia,0.24220,0.70374,1.30176,-0.87916,-0.60812,0.42594
199,morfonica,Fateful...,0.14341,0.81355,1.59740,-0.98123,0.21005,0.47570
200,morfonica,ティリカモニカリラ,-0.08714,0.80281,1.11088,-1.43333,-1.01161,0.32340
201,morfonica,Secret Dawn,0.07672,0.84808,1.42289,-1.04513,-0.19478,-0.35911
202,morfonica,Angel's Ladder,0.34523,0.71489,1.48853,-0.60603,0.34160,0.47549
203,morfonica,One step at a time,0.22385,0.93209,1.68477,-1.01647,0.06016,-0.50550
204,morfonica,Tempest,0.23932,0.82956,1.36616,-0.86551,-0.58379,0.29720
205,morfonica,フレージング ミラージュ,0.17916,0.86067,1.21113,-1.47271,-0.99896,0.48320
206,morfonica,MUGEN Reverberate!,0.46897,0.74797,1.67833,-0.55620,0.63296,0.64821
207,morfonica,わたしまちがいさがし,0.39140,1.02139,2.32577,-1.23446,-0.47388,0.54827
208,morfonica,esora no clover,-0.01520,0.85559,1.19298,-1.27229,0.13117,-0.54213
209,morfonica,きょうもMerry go rounD,0.51589,0.83406,1.93126,-0.58596,0.28775,0.83324
210,morfonica,Feathered Dreams,0.30486,0.68326,1.34402,-0.65971,0.19681,0.54652
211,morfonica,Portray Empathy,0.28560,0.77177,1.48512,-0.73633,0.12247,0.38390
212,morfonica,ビューティ・フォー,0.38042,0.92335,1.73928,-0.68782,0.44192,0.19562
213,morfonica,胡蝶翔る星月夜,0.02538,0.66357,0.90434,-0.84823,0.15103,0.06965
214,morfonica,Color of Us,0.11427,0.81069,1.20669,-1.14592,0.59621,0.40262
215,morfonica,Resonant Strings,0.57993,0.83756,1.93321,-0.66616,0.71665,0.37981
216,morfonica,Shining Leaves,0.22582,0.73843,1.40440,-0.82153,0.49511,0.10982
217,morfonica,音がえしのセレナーデ,0.30954,0.72623,1.37485,-0.75042,0.36630,0.40883
218,morfonica,蒼穹へのトレイル,0.09894,0.85716,1.31407,-1.55309,-0.79790,-0.65748
219,morfonica,QUEEN (Cover),0.33066,0.87928,1.62240,-0.78453,0.53446,0.20596
220,morfonica,again (Cover),0.01829,0.91716,1.27040,-1.40655,-0.05168,0.03351
221,morfonica,輪舞-revolution (Cover),0.45755,0.80074,1.81629,-0.64671,0.69316,0.90046
222,morfonica,メロウ (Cover),0.04618,0.82543,1.34068,-1.15307,0.06218,-0.07114
223,morfonica,祝福 (Cover),0.15948,0.78260,1.31275,-0.93709,0.31971,0.80276
224,morfonica,Overdose (Cover),0.04621,0.78642,1.26478,-1.05606,-0.12003,0.37608
225,morfonica,かくれんぼ (Cover),-0.01628,0.73110,1.12607,-1.18871,0.15942,0.08675
226,morfonica,chAngE (Cover),0.15573,0.92683,1.75696,-1.13305,0.38212,0.34819
227,morfonica,ALIVE (Cover),0.44200,0.76424,1.70323,-0.63166,0.47693,0.47104
228,morfonica,Nameless Story (Cover),0.44363,0.78594,1.80671,-0.74257,0.44897,0.63806
229,morfonica,青空のラプソディ (Cover),0.30763,0.79151,1.48060,-0.85481,0.09255,-0.05535
230,morfonica,Nevereverland (Cover),0.01233,0.84198,1.47103,-1.19008,-0.75532,0.43348
231,morfonica,メリッサ (Cover),0.01179,0.79315,1.36337,-1.04961,0.07982,0.25180
