idx,official_bpm,ratio,octave_class,m1-bpm_madmom,m1-tempo_category,official_category,category_flipped
354,150.0,0.9999999999999858,,149.99999999999787,medium,medium,False
355,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
356,102.0,0.997008973080752,,101.6949152542367,medium,medium,False
357,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
358,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
359,166.0,1.0040160642570295,,166.66666666666694,fast,fast,False
360,144.0,0.992063492063488,,142.85714285714226,medium,medium,False
361,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
362,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
363,170.0,1.0084033613445131,,171.42857142856724,fast,fast,False
364,182.0,0.999000999001004,,181.81818181818275,fast,fast,False
365,165.0,1.0101010101009718,,166.66666666666035,fast,fast,False
366,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
367,130.0,1.0033444816053336,,130.43478260869338,medium,medium,False
368,127.0,1.005193499748704,,127.6595744680854,medium,medium,False
369,174.0,1.0141987829614505,,176.47058823529235,fast,fast,False
370,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
371,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
372,130.0,1.0033444816053336,,130.43478260869338,medium,medium,False
373,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
374,165.0,1.0101010101009718,,166.66666666666035,fast,fast,False
375,185.0,1.0135135135134448,,187.49999999998727,fast,fast,False
376,195.0,0.9925558312655016,,193.5483870967728,fast,fast,False
377,125.0,1.0000000000000215,,125.00000000000269,medium,medium,False
378,190.0,0.986842105263179,,187.500000000004,fast,fast,False
379,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
380,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
381,134.0,0.9950248756219,,133.3333333333346,medium,medium,False
382,181.0,1.0045203415368995,,181.81818181817883,fast,fast,False
383,164.0,0.9887936717205648,,162.16216216217262,fast,fast,False
386,192.0,1.0080645161290251,,193.5483870967728,fast,fast,False
387,120.0,1.0,,120.0,medium,medium,False
388,138.0,1.011122345803843,,139.53488372093034,medium,medium,False
389,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
390,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
391,188.0,0.9973404255319362,,187.500000000004,fast,fast,False
392,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
393,125.0,0.9999999999999992,,124.99999999999989,medium,medium,False
397,184.0,0.9881422924901664,,181.8181818181906,fast,fast,False
399,193.0,1.0028413839211026,,193.5483870967728,fast,fast,False
400,152.0,1.012145748987779,,153.8461538461424,medium,medium,False
401,148.0,0.9887936717205092,,146.34146341463537,medium,medium,False
402,195.0,0.9925558312655016,,193.5483870967728,fast,fast,False
403,145.0,1.0092514718250016,,146.34146341462522,medium,medium,False
405,185.0,0.9828009828010302,,181.8181818181906,fast,fast,False
406,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
407,189.0,0.9920634920635132,,187.500000000004,fast,fast,False
408,176.0,1.002673796791434,,176.47058823529235,fast,fast,False
409,203.0,0.98522167487681,,199.9999999999924,fast,fast,False
410,220.0,1.0101010101009718,,222.2222222222138,boost,boost,False
411,176.0,1.002673796791434,,176.47058823529235,fast,fast,False
412,182.0,0.9990009990009612,,181.8181818181749,fast,fast,False
413,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
414,160.0,1.0135135135135012,,162.16216216216017,fast,fast,False
415,147.0,0.9955201592832338,,146.34146341463537,medium,medium,False
416,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
417,183.0,0.9935419771485396,,181.81818181818275,fast,fast,False
418,210.0,0.5012531328320801,half(0.5x),105.2631578947368,medium,boost,True
419,186.0,1.0080645161290314,,187.49999999999983,fast,fast,False
420,176.0,1.002673796791434,,176.47058823529235,fast,fast,False
421,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
422,177.0,0.9970089730807478,,176.47058823529235,fast,fast,False
423,165.0,1.0101010101009718,,166.66666666666035,fast,fast,False
424,190.0,0.986842105263179,,187.500000000004,fast,fast,False
425,142.0,1.0060362173038189,,142.85714285714226,medium,medium,False
426,150.0,1.000000000000021,,150.0000000000032,medium,medium,False
427,190.0,0.986842105263179,,187.500000000004,fast,fast,False
428,200.0,1.0,,200.0,fast,fast,False
429,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
430,125.0,0.9999999999999992,,124.99999999999989,medium,medium,False
431,165.0,1.0101010101009915,,166.66666666666364,fast,fast,False
432,188.0,0.9973404255319362,,187.500000000004,fast,fast,False
433,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
434,190.0,0.986842105263179,,187.500000000004,fast,fast,False
