idx,band,song,duration_sec,crowd_median,crowd_p10,crowd_p90,crowd_std,noise_floor_db,rt60_est_sec,n_patches,extract_sec,error
256,mugendai_mutype,夢現妄想世界,,,,,,-15.69,5.0,,0.59,
257,mugendai_mutype,やわやわNERD 超FreQuency,187.6,0.001268189400434494,0.000564616871997714,0.004283405374735594,0.004993583541363478,-20.13,5.0,94,0.63,
258,mugendai_mutype,超惑星Xへの旅,173.63,0.0012551638064906001,0.0006680272636003792,0.0030921995639801025,0.0032285251654684544,-21.46,5.0,87,0.63,
259,mugendai_mutype,これはぼくたちの生存のあらすじ,234.77,0.0009676226763986051,0.00045992954983375967,0.0016787437489256263,0.0024039349518716335,-18.48,5.0,118,1.1,
260,mygo,迷星叫,211.37,0.0007597797084599733,0.00044778286246582866,0.0015366594307124615,0.00042902425047941506,-17.48,5.0,106,1.01,
261,mygo,壱雫空,189.59,0.0007002709899097681,0.00040761896525509655,0.0011524474248290062,0.00037002068711444736,-15.8,5.0,95,0.88,
262,mygo,碧天伴走,218.87,0.0006968269590288401,0.00043372291838750243,0.0012050372315570712,0.00034439912997186184,-14.93,5.0,110,1.02,
263,mygo,影色舞,209.45,0.000646798056550324,0.0004078787751495838,0.0011739234905689955,0.00031533348374068737,-17.4,5.0,105,0.96,
264,mygo,歌いましょう鳴らしましょう,176.49,0.0007416920852847397,0.0004816257569473237,0.001412154408171773,0.0003629305574577302,-15.92,5.0,89,0.83,
265,mygo,潜在表明,,,,,,-20.14,5.0,,1.22,
266,mygo,音一会,,,,,,-15.23,5.0,,1.31,
267,mygo,春日影 (MyGO!!!!! ver.),256.61,0.0007031297427602112,0.00041759919258765876,0.0012761575635522604,0.0003974582359660417,-18.37,5.0,129,1.19,
268,mygo,詩超絆,237.2,0.0006180866039358079,0.000348208996001631,0.0012410633498802781,0.0008251959225162864,-24.36,5.0,119,1.12,
269,mygo,迷路日々,215.45,0.0006052437820471823,0.00035000935895368457,0.0009001622092910111,0.0002196811983594671,-15.31,5.0,108,1.01,
