idx,tag,band,song,drum_tempo_bpm,n_candidates,rule,decision_ratio,octave_shift,selected_bpm,base_in_range
247,mugendai_mutype__247,mugendai_mutype,新人類は仮想世界の夢を見るか?,90.7,2,acf_up,0.896,0,90.7,True
248,mugendai_mutype__248,mugendai_mutype,コミュ着火Fire!,99.4,2,acf_up,0.983,1,198.8,True
249,mugendai_mutype__249,mugendai_mutype,Calling,87.6,2,acf_up,0.843,0,87.6,True
250,mugendai_mutype__250,mugendai_mutype,Hi-Vision,101.3,2,acf_up,0.848,0,101.3,True
251,mugendai_mutype__251,mugendai_mutype,コハク,97.5,2,acf_up,0.822,0,97.5,True
252,mugendai_mutype__252,mugendai_mutype,✞animaるパーティ✞開催中✞,97.5,2,acf_up,0.913,0,97.5,True
253,mugendai_mutype__253,mugendai_mutype,エンプティパペット,126.0,1,unique,,0,126.0,True
254,mugendai_mutype__254,mugendai_mutype,限界現実サバイブ天使,94.0,2,acf_up,0.922,0,94.0,True
255,mugendai_mutype__255,mugendai_mutype,ビッグマウス,143.6,1,unique,,0,143.6,True
256,mugendai_mutype__256,mugendai_mutype,夢現妄想世界,97.5,2,acf_up,0.847,0,97.5,True
257,mugendai_mutype__257,mugendai_mutype,やわやわNERD 超FreQuency,147.7,1,unique,,0,147.7,True
258,mugendai_mutype__258,mugendai_mutype,超惑星Xへの旅,136.0,1,unique,,0,136.0,True
259,mugendai_mutype__259,mugendai_mutype,これはぼくたちの生存のあらすじ,95.7,2,acf_up,0.884,0,95.7,True
260,mygo__260,mygo,迷星叫,95.7,2,acf_up,0.941,0,95.7,True
261,mygo__261,mygo,壱雫空,101.3,2,acf_up,0.963,1,202.6,True
262,mygo__262,mygo,碧天伴走,95.7,2,acf_up,0.771,0,95.7,True
263,mygo__263,mygo,影色舞,166.7,1,unique,,0,166.7,True
264,mygo__264,mygo,歌いましょう鳴らしましょう,110.0,2,acf_up,0.817,0,110.0,True
265,mygo__265,mygo,潜在表明,136.0,1,unique,,0,136.0,True
266,mygo__266,mygo,音一会,99.4,2,acf_up,0.995,1,198.8,True
