idx,band,song,duration_sec,instr_stem_ratio,voice_median,voice_p10,voice_p90,voice_std,n_patches,error
86,ave_mujica,Symbol II : Air,212.81,0.744751,0.9987109899520874,0.7575933337211609,0.9999405741691588,0.1570977717638015,142.0,
87,ave_mujica,Symbol III : ▽,256.93,0.563194,0.9994778037071228,0.131561279296875,0.9999924898147584,0.3164750337600708,171.0,
88,ave_mujica,Symbol IV : Earth,239.14,0.656543,0.9961585402488708,0.4997453093528747,0.9999408721923828,0.2343159765005111,159.0,
89,ave_mujica,Ether,285.69,0.633125,0.9960314631462096,0.2749879360198974,0.999968647956848,0.2936501204967499,191.0,
90,ave_mujica,The Whole Blue World,257.3,0.807008,0.9871681928634644,0.2944358885288238,0.99983012676239,0.298086941242218,171.0,
91,ave_mujica,in your blue eyes,222.77,0.744181,0.989344358444214,0.3089690506458282,0.9999196529388428,0.2726250290870666,148.0,
92,ave_mujica,素晴らしき世界 でも どこにもない場所,269.5,0.735486,0.9851311445236206,0.4280451238155365,0.9997131824493408,0.2584745585918426,180.0,
93,ave_mujica,Angles,275.08,0.713142,0.9997765421867372,0.1023233160376548,0.999993085861206,0.3345025777816772,183.0,
94,ave_mujica,DIVINE,257.63,0.688624,0.9994133710861206,0.9290494918823242,0.9999691843986512,0.1817357391119003,172.0,
95,ave_mujica,Sophie,197.01,0.728708,0.990400731563568,0.6193975210189819,0.9998868703842164,0.2242244333028793,131.0,
96,ave_mujica,‘S/’ The Way,227.45,0.813383,0.9944349527359008,0.4881080389022827,0.999832272529602,0.224747285246849,151.0,
97,ave_mujica,碧い瞳の中に,223.96,0.754422,0.9841046929359436,0.2559478282928467,0.9998883605003356,0.2916539907455444,149.0,
98,ave_mujica,堕天 (Cover),183.79,0.703606,0.9996623992919922,0.5573819279670715,0.9999858736991882,0.2036379277706146,122.0,
99,ave_mujica,KINGS (Cover),317.63,0.680516,0.9988664388656616,0.9029707312583924,0.9999240636825562,0.1552289873361587,212.0,
100,ave_mujica,暗黒天国 (Cover),265.32,0.68,0.9998114705085754,0.6754253506660461,0.999990940093994,0.1620692759752273,177.0,
101,various_artists,Don't be afraid!,238.8,0.716972,0.9821667671203612,0.3912433981895447,0.9995962381362916,0.2587971985340118,159.0,
102,various_artists,Glee! Glee! Glee!,211.83,0.687028,0.9890570044517516,0.2171516567468643,0.9997934699058532,0.3009756803512573,141.0,
103,various_artists,"Be shine, shining!",96.33,0.660205,0.9995105266571044,0.8763677477836609,0.9999799728393556,0.1519826203584671,63.0,
104,various_artists,"Here, the world",263.24,0.575778,0.9999996423721312,0.9998222589492798,1.0,0.0014860468218103,175.0,
105,various_artists,CiRCLE THANKS MUSiC♪,313.7,0.732362,0.9982337951660156,0.9333457946777344,0.9999739527702332,0.1045651733875274,209.0,
106,hello_happy_world,キミがいなくちゃっ！,243.77,0.637394,0.9989940524101256,0.8064526319503784,0.999985933303833,0.1593279689550399,162.0,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.43,0.726013,0.997739553451538,0.6784345507621765,0.9999957084655762,0.1909519284963607,182.0,
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.97,0.747566,0.9979645013809204,0.7862509489059448,0.9999632835388184,0.1898775100708007,181.0,
109,hello_happy_world,えがお･シング･あ･ソング,249.2,0.620568,0.9995434284210204,0.7793996334075928,0.9999917149543762,0.2033096104860305,166.0,
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,235.2,0.64996,0.997978150844574,0.911919891834259,0.9999625086784364,0.1039593517780304,157.0,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,233.3,0.750073,0.9991337656974792,0.8233152031898499,0.9999792575836182,0.1152272894978523,155.0,
112,hello_happy_world,ないすみちゅっ！,257.2,0.681525,0.9992490410804749,0.937172830104828,0.9999892711639404,0.1574585288763046,171.0,
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,219.84,0.638887,0.9935479760169984,0.1536933481693267,0.9999192357063292,0.3191933631896972,146.0,
114,hello_happy_world,うぃーきゃん☆フレフレっ！,239.64,0.744421,0.995152711868286,0.6640107035636902,0.9999015927314758,0.1883487850427627,160.0,
115,hello_happy_world,えがおのオーケストラっ！,230.2,0.643436,0.999247670173645,0.808613121509552,0.9999979734420776,0.1872416287660598,153.0,
116,hello_happy_world,にこにこねくと！,250.64,0.650732,0.9994556307792664,0.5350186228752136,0.9999994039535522,0.2257530391216278,167.0,
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,246.3,0.605389,0.9993857145309448,0.6818598508834839,0.9999962449073792,0.162341371178627,164.0,
118,hello_happy_world,せかいのっびのびトレジャー！,212.7,0.653771,0.9855349063873292,0.7788981199264526,0.999671459197998,0.1408309042453766,141.0,
119,hello_happy_world,きらっ☆と キミフェス！,231.07,0.704505,0.9999563694000244,0.985318958759308,0.9999995827674866,0.1027196049690246,154.0,
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,217.77,0.683532,0.999519944190979,0.7952366471290588,0.9999943375587464,0.1606299430131912,145.0,
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,256.37,0.691004,0.9998997449874878,0.880923867225647,0.9999994039535522,0.1910950690507888,171.0,
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,292.0,0.533473,0.9998340606689452,0.5143665671348572,0.9999997615814208,0.2479564547538757,195.0,
123,hello_happy_world,Happy! Happier! Happiest!,242.9,0.673758,0.9954695105552672,0.6975021362304688,0.9998775720596312,0.1956377625465393,162.0,
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,224.1,0.711418,0.978675901889801,0.5042152404785156,0.9990209341049194,0.2373133897781372,149.0,
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,233.2,0.735239,0.9961084723472596,0.8646886348724365,0.9997668862342834,0.1468415856361389,155.0,
126,hello_happy_world,おもいでイルミネーション,252.7,0.689414,0.9986097812652588,0.7658889293670654,0.9999791979789734,0.1580095142126083,168.0,
127,hello_happy_world,おもいやりハーモニー,231.5,0.688237,0.9549925327301024,0.2024464607238769,0.9999167323112488,0.307408720254898,154.0,
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,210.6,0.53524,0.9970980882644652,0.7690378427505493,0.9999758005142212,0.1740021109580993,140.0,
